讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2023-03-01 (Wednesday) 16:40-18:00,Xi Qu,"                                            Dr. Xi Qu is a tenured Associate Professor at Antai College of Economics and Management, Shanghai Jiao Tong University. She obtained Ph.D. from the Ohio State University in 2013. Her research interests include econometric theory and regional economics. Her research has been published in international journals such as Journal of Political Economy, Journal of Econometrics, Journal of Development Economics, Quantitative Economics, Econometric Theory, Journal of Business &amp; Economic Statistics, among others. She was supported by the Excellent Young Scientists Fund of National Natural Science Foundation in 2022.",Estimating Social Network Models with Missing Links,"Room N302, Economics Building","                                                                We propose an adjusted 2SLS estimator for social network models when existing network links are missing from the sample at random (due, e.g., to recall errors by survey respondents, or lapses in data input). In the feasible structural form, missing links make all covariates endogenous and add a new source of correlation between the errors and endogenous peer outcomes (in addition to simultaneity), thus invalidating conventional estimators used in the literature. We resolve these issues by rescaling peer outcomes with estimates of missing rates and constructing instruments that exploit properties of the noisy network measures. We apply our method to study peer effects in household decisions to participate in a microfinance program in Indian villages. We find that ignoring missing links and applying conventional instruments would result in a sizeable upward bias in peer effect estimates."
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2023-02-28 (Tuesday) 16:30-18:00,姚加权,                                            姚加权，暨南大学金融学教授，博导。博士毕业于新加坡南洋理工大学，研究方向包括公司金融、金融科技、实证资产定价、劳动与金融、文本分析和机器学习，论文发表于Review of Financial Studies、Management Science、Journal of Financial and Quantitative Analysis和《管理科学学报》等国内外权威期刊，以及计算机顶会WWW2018和KDD2020。担任International Journal of Finance and Economics副主编。指导的学生论文曾获第三届全国优秀金融硕士学位论文。,Trust and Contracts: Empirical Evidence,中科院数学与系统科学研究院南楼N204，腾讯会议：47933486244，经济楼N302（线下分会场）,"                                                                Trust between parties should drive contract design: if parties were suspicious about each others&rsquo; reaction to unplanned events, they might agree to pay higher costs of negotiation ex ante to complete contracts. Using a unique sample of U.S. consulting contracts and a negative shock to trust between shareholders/managers (principals) and consultants (agents) staggered across space and over time, we find that lower trust increases contract completeness. Not only contract complexity but also the verifiable states of the world covered by contracts increase after trust among parties drops. The results hold for several novel text-analysis-based measures of contract completeness and do not arise in falsification tests. At the clause level, we find that non-compete agreements, confidentiality, indemnification, and termination rules are the most likely clauses added to contracts after a negative shock to trust and these additions are not driven by changing boilerplate contract templates over time."
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2023-02-21 (Tuesday) 16:30-18:00,姜富伟,                                            姜富伟，中央财经大学金融工程系主任、教授、博导，教育部青年长江学者，国家社科基金重大项目首席专家，黄大年教学团队核心成员，北京市海淀区政协委员，目前主要关注数字经济与金融科技交叉研究，在Journal of Financial Economics、Review of Financial Studies、Management Science、《管理世界》《金融研究》《经济学季刊》《管理科学学报》等发表论文50余篇，成果获评ESI经济管理类全球前1%最高被引用论文、RFS最高被引用论文、JFE最高被引用论文等，获《金融研究》优秀论文奖、国际金融管理协会最佳论文奖、亚洲金融协会最佳论文奖、中国金融工程学年会优秀论文奖、金融图书金羊奖等奖励荣誉，国家自然科学基金考核评价&ldquo;特优&rdquo;。学术观点被《哈佛商业评论》《清华金融评论》、CCTV、澎湃新闻等转载，担任Accounting and Finance副主编、Annals of Economics and Finance编委和30多本中外学术期刊审稿人。,Forecasting Inflation with Economic Narratives and Machine Learning,腾讯会议ID：47933486244，中科院数学与系统科学研究院南楼N202,"                                                                In this paper we apply economic narratives to inflation forecasting using a large news corpus and machine learning algorithms. We measure economic narratives quantitatively from the full text content of over 880,000 Wall Street Journal articles and represent them as interpretable news topics. The results indicate that narrative-based forecasts are more accurate than the benchmarks both in-sample and out-of-sample, which perform especially well during recession periods. Narrative-based forecasts perform better in the long-run forecasting, suggesting that narratives help to capture the slowly-varying trend inflation objectives. Information about inflation expectations and prices of specific goods embedded in narratives contributes to its predictive power. Overall, we provide a novel representation of economic narratives and highlight the important role of economic narratives in inflation forecasting."
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2023-01-03 (Tuesday) 16:30-18:00,Jia Chen,                                            陈佳教授于2008年取得浙江大学理学博士学位，后于2008-2011在澳大利亚阿德莱德大学和蒙纳士大学从事博士后研究。现为约克大学经济系正教授。陈佳教授在非参数和半参数统计、面板数据建模和统计推断、高维统计和计量经济学等领域取得了一系列国际领先的研究成果，并同时担任Journal of Nonparametric Statistics、Economic Modelling以及Australian and New Zealand Journal of Statistics副主编。陈佳教授已有20余篇科研论文发表于国际知名统计学和计量经济学期刊。其中包括Annals of Statistics、Journal of the American Statistical Association、Journal of Econometrics、Journal of Business and Economic Statistics、Econometric Theory、Econometrics Journal。,Estimating Time-Varying Networks for High-Dimensional Time Series,腾讯会议：375 8612 5504,"                                                                We explore time-varying networks for high-dimensional locally stationary time series, using the large VAR model framework with both the transition and (error) precision matrices evolving smoothly over time. Two types of time-varying graphs are investigated: one containing directed edges of Granger causality linkages, and the other containing undirected edges of partial correlation linkages. Under the sparse structural assumption, we propose a penalised local linear method with time-varying weighted group LASSO to jointly estimate the transition matrices and identify their significant entries, and a time-varying CLIME method to estimate the precision matrices. The estimated transition and precision matrices are then used to determine the time-varying network structures. Under some mild conditions, we derive the theoretical properties of the proposed estimates including the consistency and oracle properties. In addition, the developed methodology and theory are extended to highly correlated large-scale time series, for which the sparsity assumption becomes invalid and factor-adjusted time-varying networks are estimated. Extensive simulation studies and an empirical application to a large U.S. macroeconomic dataset are provided to illustrate the finite-sample performance of the developed methods."
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2022-12-27 (Tuesday) 16:30-18:00,Weining Wang,"                                            Dr. Weining Wang is a chair professor of financial econometrics in department economics and related studies at the University of York, UK. She received a Doctor Degree in Economics from Humboldt University in Berlin. Her research fields mainly include non-parametric and semi-parametric econometrics, high-dimensional econometrics, network models, time series. He published in several top journals in the areas, including Annals of Statistics, Journal of Business and Economic Statistics, Journal of Econometrics, Journal of the American Statistics Association, Econometric Theory, and others. Her research mainly focuses on panel data, high-dimensional time series models, and other applied econometrics methods. The goal is to address specific economic and financial research questions, such as system risk model analysis, financial derivatives asset pricing, and social network analysis.",Policy Choice in Time Series by Empirical Welfare Maximization,腾讯会议：37586125504,"                                                                This paper develops a novel method for policy choice in a dynamic setting where the available data is a multivariate time series. Building on the statistical treatment choice framework, we propose Time-series Empirical Welfare Maximization (T-EWM) methods to estimate an optimal policy rule for the current period or over multiple periods by maximizing an empirical welfare criterion constructed using nonparametric potential outcome time-series. We characterize conditions under which T-EWM consistently learns a policy choice that is optimal in terms of conditional welfare given the time-series history. We then derive a nonasymptotic upper bound for conditional welfare regret and its minimax lower bound. To illustrate the implementation and uses of T-EWM, we perform simulation studies and apply the method to estimate optimal monetary policy rules from macroeconomic time-series data."
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2022-12-20 (Tuesday) 16:30-18:00,邹长亮,                                            邹长亮，南开大学统计与数据科学学院教授。2008年于南开大学获博士学位，随后留校任教。主要从事统计学及其与数据科学领域的交叉研究和实际应用。研究兴趣包括：高维数据统计推断、大规模数据流分析、变点和异常点检测等，在Annals of Statistics、Biometrika、Journal of the American Statistical Association 、Mathematical Programming、Technometrics、IISE Transactions等统计学和工业工程领域期刊上发表论文几十篇，主持国家自然科学基金委优青、杰青、重点项目、重大项目等课题。,Optimal Semi-supervised Subsampling via Predictive Inference,腾讯会议：37586125504，经济楼N302,"                                                                In big data era, subsampling or sub-data selection techniques are often adopted to extract a fraction of informative individuals from the massive data. Existing subsampling algorithms focus mainly on obtaining a representative subset to achieve best estimation accuracy under a given class of models. In this talk, we consider a semi-supervised setting wherein a small or moderate sized &ldquo;labeled&rdquo; data is available in addition to a much larger sized &ldquo;unlabeled&rdquo; data. The goal is to sample from the unlabeled data with a give budget to obtain informative individuals that are characterized by their unobserved responses. I will introduce an optimal subsampling procedure that is able to maximize the diversity of the selected subsample and control false selection rate (FSR) simultaneously, allowing us to explore reliable information as much as possible."
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2022-12-13 (Tuesday) 10:00-11:30,Xu Cheng,"                                            Xu Cheng is an associate professor of economics at the University of Pennsylvania, Her research covers a wide range of topics in econometrics, such as identification issues of econometric models, likelihood and moment based estimation and inference, as well as shrinkage estimation.&nbsp; Her research has appeared on Econometrica, Review of Economic Studies, Quantitative Economics, Journal of Econometrics, Econometric Theory, and Journal of Business &amp; Economic Statistics, among others. She currently serves as the Co-editor of Econometric Theory, and an associate editor of Quantitative Economics, Econometrics Journal and Econometrics Review, and was an associate editor of Journal of Econometrics, Econometric Theory&nbsp; and Journal of Business &amp; Economic Statistics.",Clustering for Multi-Dimensional Heterogeneity,"Room N302, Econ Bldg, XMU; Zoom Meeting: 89377867510","                                                                This paper provides a new multi-dimensional clustering approach for unobserved heterogeneity in panel data models. Each unit is associated with multiple clusters. For example, a firm can belong to the high productivity group and the low output elasticity group. In contrast, the standard one-dimensional clustering approach would be based on separate groups for each productivity-elasticity pair. Our approach provides substantial gains in estimation accuracy when unobserved features have sparse interactions, e.g., there are only a few firms with high productivity and low output elasticity. We propose an estimator for the unobserved group memberships and the group-specific and common parameters in a nonlinear GMM framework and derive its large sample properties. In particular, we provide the first classification consistency result in a nonlinear GMM setup. We re-evaluate the rise of aggregate markup in De Loecker, Eeckhout, and Unger (2018) by replacing their sector-specific production functions with a cluster-based one. We find that the upward trajectory persists, but the magnitude is less pronounced after accounting for multi-dimensional heterogeneity."
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2022-12-06 (Tuesday) 16:30-18:00,李德柜,                                            李德柜，现为英国约克大学数学系正教授及统计研究所主任，2008年获浙江大学理学博士学位，曾在澳大利亚阿德莱德大学经济系和莫纳什大学商学院从事博士后研究。主要研究领域包括非参数统计学、（非平稳）时间序列分析、面板数据建模、金融计量经济学、高维统计学和计量经济学，并有数十篇论文发表于国际知名统计学和计量经济学刊物如AoS、JASA、JOE、JBES、ET等。2011年获澳大利亚科研委员会DECRA奖，曾受ARC、BA/Leverhulme Trust及Heilbronn Institute等机构的科研资助，现担任Econometric Theory、Journal of Time Series Analysis及Econometrics &amp; Statistics等国际学术刊物的编委。,Estimating Factor-Based Spot Volatility Matrices with Noisy and Asynchr...,经济楼N302，腾讯会议 ID：375 8612 5504,"                                                                With noisy and asynchronous high-frequency data collected for an ultra-large number of assets, we estimate high-dimensional spot volatility matrices satisfying a low-rank plus sparse structure. A localised pre-averaging method is proposed to jointly tackle the microstructure noise and asynchronicity issues, and obtain uniformly consistent estimates for latent prices. We impose a continuous-time factor model with time-varying factor loadings on the price processes, and estimate the common factors and loadings via a local principal component analysis. Assuming a uniform sparsity condition on the idiosyncratic volatility structure, we combine the POET and kernel-smoothing techniques to estimate the spot volatility matrices for both the latent prices and idiosyncratic errors. Under some mild restrictions, the estimated spot volatility matrices are shown to be uniformly consistent with convergence rates affected by the estimation errors due to the microstructure noise, asynchronicity and latent factor structures. Numerical studies are provided to assess the performance of the developed methods."
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2022-11-30 (Wednesday) 16:40-18:00,Chengchun Shi,"                                            Chengchun Shi is an Assistant Professor in data science at London School of Economics and Political Science. He is serving as the associate editors of JRSSB and Journal of Nonparametric Statistics. His research focuses on developing statistical learning methods in reinforcement learning and analysis of complex data, with applications to healthcare, ridesharing and neuroimaging. He was the recipient of the Royal Statistical Society Research Prize in 2021. He also received the IMS travel awards in three years.",Statistical infernece in reinforcement learning,经济楼N302，线上腾讯会议,"                                                                Reinforcement learning (RL) is concerned with how intelligence agents take actions in a given environment to maximize the cumulative reward they receive. In healthcare, applying RL algorithms could assist patients in improving their health status. In ride-sharing platforms, applying RL algorithms could increase drivers' income and customer satisfaction. RL has been arguably one of the most vibrant research frontiers in machine learning over the last few years. Nevertheless, statistics as a field, as opposed to computer science, has only recently begun to engage with reinforcement learning both in depth and in breadth. In today's talk, I will discuss some of my recent work on developing statistical inferential tools for reinforcement learning, with applications to mobile health and ridesharing companies. The talk will cover several different papers published in highly-ranked statistical journals (JASA &amp; JRSSB) and top machine learning conferences (ICML)."
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2022-11-29 (Tuesday) 16:40-18:00,Jieying Hong,"                                            Jieying Hong is an associate professor at School of Economics and Management, Beihang University. Her research interest covers corporate finance, behavioral finance and Fintech. In the corporate finance area, she applies contract theory and build models to study the optimal corporate decisions. She also empirically studies the real effects of financial derivatives, including options and CDS, on corporate decisions. In behavioral finance area, she studies the implications of asymmetric information and bounded rationality on asset pricing. Currently, she is particularly interested in studying the implications of machine learning on the risk management decisions of financial institutions.",The Role of Creditors and CEO Compensation Design: Evidence from Credit...,"Room N303, Economics Building","                                                                What is the role of creditors in shaping the design of managerial compensation? This paper provides empirical evidence by investigating how the trading of credit default swaps (CDS) shapes the design of CDS-referenced firm&rsquo;s managerial compensation, especially its risk-taking incentives. We find that CEO compensation vega increases significantly when a firm has CDS referring its debt, and the causal relationship is verified by a set of endogeneity tests. The CDS effect is stronger for firms with larger risk-shifting agency conflict, consistent with the view that the alleviation of creditors&rsquo; risk concerns is the main mechanism driving this effect. Additionally, we document that the increase in CEO compensation vega caused by CDS trading results into more risk taking, which, however, does not lead to an improvement in firm performance and shareholder value."
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2022-11-29 (Tuesday) 16:30-18:00,荆炳义,                                            荆炳义，南方科技大学统计与数据科学系讲席教授。曾获国家自然科学奖二等奖，教育部高等学校自然科学奖二等奖。美国统计学会会士(2018)、数理统计学会会士 (2018)、国际统计学会当选会士(2006)。泛华统计协会理事会成员，中国现场统计学会多元分析委员会理事长，并先后分别担任七家国际学术期刊副主编。研究兴趣包括概率统计、计量经济、网络数据、强化学习、及生物信息等领域，有多项开创性研究和突破性科研成果。在Annals of Statistics、Annals of Probability、Biometrika、Journal of the American Statistical Association、Journal of Econometrics等顶级期刊发表论文100余篇，论文引超过3700余次。同时与产业界有着密切的交流与合作。,Fusion of Supervised Learning and Reinforcement Learning for Dynamic Tr...,中科院数学与系统科学研究院南楼N204 (线下主会场)、厦大经济楼N302(线下分会场)、腾讯会议：37586125504,"                                                                Electronic health records (EHR) have provided a great opportunity to exploit personalized health data to optimize clinical decision making and achieve personalized treatment recommendation. In this talk, we explore how AI could help physicians in prescribing medicines for patients with multi-morbidity (i.e., co-occurrence of two or more diseases). Both Supervised Learning (SL) and Reinforcement Learning (RL) have been employed for this purpose, but with their own drawbacks. For instance, SL relies highly on the clinical guideline and doctors personal experience while RL may produce unacceptable medications due to lack of the supervision from doctors. In this talk, we propose a novel SAVER framework by fusing RL and SL, where RL learns the optimal policy and SL gives a regularization to avoid unacceptable risks. Our experiments show that our SAVER framework can provider more accuracy treatment recommendation than the existing methods."
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2022-11-28 (Monday) 16:40-18:00,Zhanhui Chen,"                                            Zhanhui Chen is Associate Professor of Finance from Hong Kong University of Science and Technology. He obtained Ph.D. from Texas A&amp;M University. He published in top journals such as Journal of Financial Economics, Review of Financial Studies, Management Science, Journal of Financial and Quantitative Analysis, Journal of Economic Behavior &amp; Organization.",Life Expectancy and Corporate Debt Markets,"Room N302, Economics Building","                                                                We study the implications of longevity shocks on corporate bond markets, corporate debt financing, and investment via the lens of life insurers. Longevity shocks shift life insurers&rsquo; demand for bonds of specific maturities. When longevity increases, life insurance companies invest more in long-term bonds. Consequently, long-term bond yields decline. The corporate sector absorbs these shocks by shifting to long-term debt issuances while increasing investment in long-term assets. Our results suggest that improvements in life expectancy reduce long-term corporate financing costs and stimulate long-term corporate investment."
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2022-11-24(Thursday)16:40-18:00,Jia Chen,"                                            Jia Chen is a Professor of Economics from Department of Economics at University of York, UK. Her research interests are mainly in panel data econometrics and time series econometrics, in particular, nonparametric and semiparametric modelling, which involves development of statistical models, estimation, hypothesis testing, and model selection approaches. Her research has been published in international journals such as Annals of Statistics, Journal of Business and Economic Statistics, Journal of Econometrics, Econometrics Journal, among others.",Estimation of Common Factors for Microstructure Noise and Efficient Pri...,"Room N303, Economics Building","                                                                We develop the Double Principal Component Analysis (DPCA) based on a dual factor structure for high-frequency intraday returns contaminated by microstructure noise. The dual factor structure allows a factor structure for microstructure noise in addition to the factor structure for the efficient log-prices. We construct estimators of factors for both the efficient log-prices and the microstructure noise as well as their common components, and prove the uniform consistency of these estimators when the number of assets and the sampling frequency go to infinity. In a Monte Carlo exercise, we compare our DPCA method to a PCA-VECM method. Finally, an empirical analysis of intraday returns of S&amp;P 500 Index constituents provides evidence of co-movement of the microstructure noise that distinguishes from latent systematic risk factors.&nbsp;"
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2022-11-24(Thursday)16:40-18:00,Xiaohui Tian,"                                            Prof. Tian, Xiaohui graduated from The Ohio State University with a Ph.D. in Agricultural Economics. She is currently an associate professor at the School of Agriculture and Rural Development, Renmin University of China, Renmin University of China &ldquo;Outstanding Scholar&rdquo; Support Program Young Scholar. She has published high-level publications in well-known domestic and international journals such as the American Journal of Agricultural Economics, Land Economics, Journal of Money, Credit, and Banking, Australian Journal of Agricultural and Resource Economics, Forest Policy and Economics, China Rural Economy, and China Industrial Economy. In addition, she has published many articles at the national level, presided over two projects of the National Natural Science Foundation of China and several provincial and ministerial-level entrusted projects, and won the title of the annual scholar of the China Young Agricultural Economist Forum. She also serves as the Director of the China Agricultural Economics Association, the Standing Member and Secretary-general of the Youth (Work) Committee of the China Agricultural Economics Association, and the Deputy Secretary-general of the Beijing Agricultural Economics Association.",Forest Policy and Carbon Sequestration Potential of China---An Analysis...,"Room N302, Economics Building","                                                                Forest carbon sequestration is an effective way to cope with climate change and achieve the goal of &quot;carbon peaking and carbon neutrality&quot;. At present, China has not implemented a national forest carbon sequestration policy; instead, China focuses on promoting forest carbon sequestration based on the existing forest policies. This study studies two key forest projects in China, namely, the banning of commercial logging of natural forests and the returning farmland to forests. Using a dynamic partial equilibrium model of the forestry sector: Global Timber Model (GTM), and incorporating the Eighth National Forest Inventory Census Data, we project the dynamic response of wood production, market price, management intensity and forest carbon sink under different policy scenarios. The results show that the logging banning could not induce additional carbon sinks in the short-term; the policy of returning farmland to forests has a strong positive effect on carbon sinks in the short and long term; Without any policy interventions, China's forest stock can still achieve an increase of 3.723 billion cubic meters between 2005 and 2030, accounting for 82.73% of the forestry target (4.5 billion cubic meters) promised by the National Independent Contribution (NDC)."
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
